course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating
319020,Investing: How I Consistently Beat The Stock Market,Paid,200,2000,31,34,All Levels,4.5,2014-12-11,Business Finance,English,4.1
713258,Bookkeeping Basics:  Understand the Fundamentals,Paid,75,853,45,48,Beginner,4.5,2016-11-06,Business Finance,English,4.7
537884,Leasing - A Comprehensive Study (Professional Course Level),Paid,20,3094,2,22,All Levels,3.5,2015-07-17,Business Finance,English,4.234613666815543
919906,Trading Options For Consistent Returns: Options Basics,Free,0,4077,281,20,Beginner,1.5,2016-08-18,Business Finance,English,4.6
46010,TechniTrader Leading Hybrid Indicator Trading,Paid,20,4117,54,5,Intermediate,1.0,2013-04-04,Business Finance,English,4.3
777932,Financial modeling: Build a DCF equity valuation model,Paid,20,1369,17,31,All Levels,1.5,2016-03-06,Business Finance,English,4.234613666815543
773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),Paid,150,1224,42,14,All Levels,0.55,2016-03-23,Business Finance,English,4.234613666815543
221306,Accounting Is Easy (for Beginners),Paid,20,3870,12,90,All Levels,9.0,2014-05-20,Business Finance,English,4.234613666815543
830994,Non Directional Weekly Options Trading System - ETF & Emini,Paid,200,897,22,21,All Levels,2.0,2016-05-24,Business Finance,English,4.5
723510,The Complete Position Trading Course: Position Trading Stock,Paid,45,1311,36,5,All Levels,1.0,2016-01-15,Business Finance,English,4.234613666815543
42643,Master Iron Condors - Double the credit for half the risk,Paid,60,1338,139,7,Expert,1.0,2013-03-02,Business Finance,English,4.7
411778,Basics of investing in Mutual Funds,Paid,20,1589,26,42,Intermediate,1.5,2015-03-03,Business Finance,English,3.9
366514,A Value Investing Approach to the Stock Market,Paid,20,1189,12,15,All Levels,1.5,2015-02-19,Business Finance,English,3.6
471588,Learn how to INVEST for huge profits or make it big trading!,Paid,50,701,12,37,All Levels,5.5,2015-06-19,Business Finance,English,3.9
